Product, Pack size, Quoted Pack Price, Unit of Measure, Multiplier, Unit Price, Incoterm, Supplier, Manufacturer, Qty, Total Spend (USD), Comparison Price, Notes, Potential Savings
"Amoxicillin + capsule + 250 mg", 1000, 13.3, cap/tab, 1000, 0.0133, DDP, Keko Pharmaceticals Industries (1997) Ltd, see tender doc, 354839.0, 4719358, , , 
"Erythromycin + tablet + 250 Mg", 1000, 16.31, cap/tab, 1000, 0.01631, DDP, Keko Pharmaceticals Industries (1997) Ltd, see tender doc, 183792.0, 2997647, , , 
"Folic Acid + tablet + 5 Mg", 1000, 8.17, cap/tab, 1000, 0.00817, DDP, Keko Pharmaceticals Industries (1997) Ltd, see tender doc, 319433.0, 2609767, , , 
"Quinine + tablet + 300 Mg", 500, 18.97, cap/tab, 5000, 0.003794, DDP, Keko Pharmaceticals Industries (1997) Ltd, see tender doc, 126309.0, 2396081, , , 
"Oral Rehydration Salts + powder + + + sachet for 1 Litre", 100, 10.0, sachet, 100, 0.1, DDP, Jilichem (T) Ltd, see tender doc, 211391.0, 2113910, , , 
"Phenoxymethyl Penicillin + tablet +250 Mg", 1000, 9.51, cap/tab, 1000, 0.00951, DDP, Keko Pharmaceticals Industries (1997) Ltd, see tender doc, 208979.0, 1987390, , , 
"Paracetamol + tablet + 500 Mg", 1000, 3.37, cap/tab, 1000, 0.00337, DDP, Keko Pharmaceticals Industries (1997) Ltd, see tender doc, 541474.0, 1824767, , , 
"Sodium Lactate Compound + liquid + + 500ml + Hartmann's", 24, 8.88, ml, 12000, 0.00074, DDP, Abacus Paraental Drugs Ltd, see tender doc, 184032.0, 1634204, , , 
"Co-Trimoxazole + Suspension + 200/40mg/5ml + 100ml", 24, 9.12, ml, 2400, 0.0038, DDP, Jilichem (T) Ltd, see tender doc, 169443.0, 1545320, , , 
"Cloxacillin + capsule + 250 mg", 1000, 12.11, cap/tab, 1000, 0.01211, DDP, Keko Pharmaceticals Industries (1997) Ltd, see tender doc, 126330.0, 1529856, , , 
"Chlorhexidine Cetrimide +  Liquid + 1.5% and 15% + 5 litres + Savlon", 1, 17.57, litre, 5, 3.514, DDP, Jilichem (T) Ltd, see tender doc, 83784.0, 1472084, , , 
"Chloramphenicol  + capsule + 250 mg", 1000, 25.43, cap/tab, 1000, 0.02543, DDP, Pyramid Pharma, see tender doc, 55951.0, 1422933, , , 
"Cresol Saponated + Liquid + 50% +5 litres + Lysol", 1, 17.51, litre, 5, 3.502, DDP, HV International, see tender doc, 80582.0, 1410990, , , 
"Amoxicillin + powder for suspension + 125mg/5ml + 100mls + granules", 24, 7.45, ml, 2400, 0.00310416666667, DDP, Samiro Pharmacy, see tender doc, 186360.0, 1388382, , , 
"Paracetamol + Syrup + 120mg/5mls + 100ml", 24, 9.12, ml, 2400, 0.0038, DDP, Jilichem (T) Ltd, see tender doc, 146326.0, 1334493, , , 
"Dextrose + Injection + 10% + 500ml", 24, 11.13, ml, 12000, 0.0009275, DDP, Fresenius Kabi, see tender doc, 116336.0, 1294587, , , 
"Hyoscine-N-Butylbromide + tablet + 10 Mg", 500, 10.86, cap/tab, 500, 0.02172, DDP, Samiro Pharmacy, see tender doc, 118585.0, 1287833, , , 
"Sodium Chloride + Injection + 0.9% + 500ml + For Iv", 24, 8.88, ml, 12000, 0.00074, DDP, Abacus Paraental Drugs Ltd, see tender doc, 144159.0, 1280131, , , 
"Doxycycline  + tablet + 100 Mg", 1000, 10.36, cap/tab, 1000, 0.01036, DDP, Astra Life Care, see tender doc, 116193.0, 1203759, , , 
"Chloramphenicol + powder for injection + 1 G", 50, 16.44, vial, 50, 0.3288, DDP, HV International, see tender doc, 72551.0, 1192738, , , 
"RABIES VACCINE USP + vial + + + Potency Of Rabies Antigen < 2.5 IU/Dose", 1, 6.8, vial, 1, 6.8, DDP, Serum Institute of India, see tender doc, 140232.0, 953577, , , 
"Benzyl Penicillin + powder for injection + + 5 Mu", 50, 7.2, vial, 50, 0.144, DDP, Bahari Pharmacy Ltd, see tender doc, 117349.0, 844912, , , 
"Metronidazole + tablet + 200 Mg", 1000, 3.39, cap/tab, 1000, 0.00339, DDP, Keko Pharmaceticals Industries (1997) Ltd, see tender doc, 234574.0, 795205, , , 
