Bidder No.,Supplier,Item Number,Product,Pack Size,Curr.,Pack price, Msd Price(TSH) , Quantity ,Total Amount,UOM,Multiplier
1,Samiro Pharmacy,10010022MD,Diclofenac + tablet + 50 Mg,100,USD,0.30,1000.00,814555.00,244366.50,cap/tab,100
1,Samiro Pharmacy,10010034MD,Hyoscine-N-Butylbromide + tablet + 10 Mg,500,USD,10.86,24000.00,118585.00,1287833.10,cap/tab,500
1,Samiro Pharmacy,10040010MD,Amoxicillin + powder for suspension + 125mg/5ml + 100mls + granules,24,USD,7.45,20000.00,186360.00,1388382.00,ml,2400
1,Samiro Pharmacy,10040003MD,Erythromycin + powder for suspension + 125 Mg/5 Ml + 100 ml,1,USD,0.44,1000.00,1042604.00,458745.76,ml,100
2,HV International,10070005MD,Cresol Saponated + Liquid + 50% +5 litres + Lysol,1,USD,17.51,29000.00,80582.00,1410990.82,litre,5
2,HV International,10060008MD,Adrenaline + ampoule + 1mg/Ml + 1ml,10,USD,1.57,8000.00,131673.00,206726.61,ampoule,10
2,HV International,10060017MD,Chloramphenicol + powder for injection + 1 G,50,USD,16.44,26000.00,72551.00,1192738.44,vial,50
2,HV International,10060070MD,Lignocaine + vial + 2% + 50ml,10,USD,4.45,22000.00,63964.00,284639.80,vial,10
3,Tata Africa Holdings Ltd,10060024MD,Diazepam + ampoule + 5 Mg/Ml + 2ml,10,USD,0.97,2000.00,182787.00,177668.96,ml,20
5,Nirma Limited,10020010MD,Sodium Chloride + injection + 0.9% + 1000ml,12,USD,7.79,18000.00,83935.00,653433.98,ml,12000
5,Nirma Limited,10060052MD,Water For Injection + vial + + 10ml,100,USD,2.94,7100.00,191155.00,561517.81,ml,1000
16,Novo Nordisk A/S,10060059MD,Insulin Human Zinc Suspension + vial + 100iu + + Lente,10,USD,23.00,65000.00,34044.00,783012.00,vial,10
16,Novo Nordisk A/S,10060058MD,Insulin Human + powder for injection + 100iu + + Soluble,10,USD,23.00,65000.00,31897.00,733631.00,vial,10
9,Abacus Paraental Drugs Ltd,10020013MD,Sodium Lactate Compound + liquid + + 500ml + Hartmann's,24,USD,8.88,17000.00,184032.00,1634204.16,ml,12000
9,Abacus Paraental Drugs Ltd,10020015MD,Sodium Chloride + Injection + 0.9% + 500ml + For Iv,24,USD,8.88,17000.00,144159.00,1280131.92,ml,12000
12,CSPC Zhongnuo Pharmaceutical,10060016MD,Ceftriaxone + Powder for injection + 250 Mg,20,USD,2.40,20000.00,162941.00,391058.40,vial,20
14,SG Star Pharmaceutical Limited,10070007MD,Methylated Spirit + Liquid + 70% + 5 litres,1,USD,6.25,15000.00,75224.00,470150.00,litre,5
19,Bahari Pharmacy Ltd,10060014MD,Benzyl Penicillin + powder for injection + + 5 Mu,50,USD,7.20,20000.00,117349.00,844912.80,vial,50
19,Bahari Pharmacy Ltd,10060046MD,Procaine Penicillin + powder for injection + + 4 Mu + Fortified,50,USD,8.50,19000.00,73007.00,620559.50,vial,50
19,Bahari Pharmacy Ltd,10060013MD,Benzathine Penicillin + powder for injection + + 2.4 Mu +  Fortified,50,USD,8.06,20000.00,44053.00,355067.18,vial,50
22,Planet Pharmaceutical Ltd,10010045MD,Phenobarbital + tablet + 30 Mg,1000,USD,3.60,5200.00,79296.00,285465.60,cap/tab,1000
22,Planet Pharmaceutical Ltd,10010025MD,Ephedrine + tablet + 30 Mg,1000,USD,9.24,7100.00,60743.00,561265.32,cap/tab,1000
25,Astra Life Care,10010014MD,Chlorpheniramine +tablet + 4 mg,1000,USD,0.89,1500.00,102405.00,91140.45,cap/tab,1000
25,Astra Life Care,10010024MD,Doxycycline  + tablet + 100 Mg,1000,USD,10.36,22000.00,116193.00,1203759.48,cap/tab,1000
25,Astra Life Care,10010037MD,Magnesium Trisilicate Bpc Compound + tablet,1000,USD,2.17,,99797.00,216559.49,cap/tab,1000
26,Serum Institute of India,10060064MD,RABIES VACCINE USP + vial + + + Potency Of Rabies Antigen < 2.5 IU/Dose,1,USD,6.80,19000.00,140232.00,953577.60,vial,1
