PRODUCT No.,PRODUCT,Unit Pack Size, Unit Price ,qty,Manufacturer,UOM,Multiplier
6,Acetylsalicylic acid + tablet + 300 mg,1000, $6.490 ,60000,Ningxia/China,cap/tab,1000
50,Aciclovir + tablet + 400 mg,100, $4.181 ,30000,Okasa/India,cap/tab,100
10,Adrenaline + ampoule + 1 mg/ml,1, $0.374 ,150000,Kwality/India,ampoule,1
3,Aminophylline + ampoule + 2mg/ml +10mL,1, $1.716 ,20000,,ampoule,1
93,Aminophylline + tablet + 100 mg,1000, $26.676 ,4000,Ningxia/China,cap/tab,1000
85,Amitriptyline+ tablet + 25 mg,1000, $11.950 ,5000,Healthy/India,cap/tab,1000
19,Amoxicillin + capsule + 250 mg,1000, $32.718 ,100000,Okasa/India,cap/tab,1000
20,Amoxycillin + powder for suspension + 125 mg/5ml + 100ml,1, $0.957 ,400000,Okasa/India,ml,100
21,Ampicillin + powder for injection + 500 mg,1, $0.270 ,250000,S REYOUNG/China,mg,500
75,Atropine + eye drops + 1% + 5ml,1, $2.496 ,51000,Ciron/India,ml,5
13,Atropine + ampoule + 0.6 mg/ml + 1ml,1, $0.302 ,200000,Kwality/India,ampoule,1
,Atenolol + tablet + 50mg,1000, $4.400 ,25000,Medopharm/India,cap/tab,1000
91,Beclomethasone + inhaler + 50 mg/dose + 200 mdi,1, $6.261 ,7000,Okasa/India,item,1
22,Benzathine benzylpenicillin + powder for injection + 2.4 MIU,1, $0.738 ,200000,Kwality/India,MIU,2.4
23,Benzylpenicillin + powder for injection + 5MIU,1, $0.707 ,1200000,Kwality/India,MIU,5
123,Betamethasone + eye drops + 0.1 % w/v + 5 ml,1, $2.548 ,60000,Ciron/India,ml,5
153,Cefotaxime + powder for injection + 1 g,1, $0.666 ,15000,Okasa/India,g,1
28,Ceftriaxone + powder for injection + 250 mg,1, $0.291 ,320000,S REYOUNG/China,mg,250
41,Cephalexin + capsule + 250 mg,1000, $43.555 ,5000,Okasa/India,cap/tab,1000
124,Cephalexin + suspension +125 mg/5ml + 100ml,1, $1.570 ,60000,Alkem/India,ml,100
30,Chloramphenicol + capsule + 250 mg,1000, $39.229 ,18082,Ningxia/China,cap/tab,1000
31,Chloramphenicol + suspension + 125 mg/5ml + 100ml,1, $1.862 ,60000,Alkem/India,ml,100
29,Chloramphenicol + powder for injection + 1g,1, $0.541 ,171000,Alkem/India,g,1
,Chlorpheniramine maleate + tablet + 4mg,1000, $1.670 ,24600,Ningxia/China,cap/tab,1000
24,Chlorpromazine + ampoule + 25 mg/ml + 2 ml + hydrochloride,1, $1.331 ,100000,Wuhan/China,ampoule,1
